Date,Modal.Price.bitter.guard,Modal.Price.cucumber,Modal.Price.cabbage,Modal.Price.lady,Modal.Price.potato,Modal.Price.carrot,Modal.Price.jawar,Modal.Price.tomato,Modal.Price.beetroot,Modal.Price.turmeric,Modal.Price.ginger,MAX,MIN,R.F,EVP,DR,SSH,RH,VP,petrolPrice,Modal.Price.onion
2007-04-15,1089.880952381,657.7380952381,310.7142857143,1089.880952381,572.0238095238,557.1428571429,1250,307.1428571429,457.1428571429,3164.2857142857,1064.2857142857,38.1142857143,17.9285714286,0,8.6285714286,0,9.3857142857,29.9285714286,132.2142857143,48.41,445.5952380952
2007-04-22,1028.5714285714,635.119047619,289.2857142857,1028.5714285714,672.3214285714,566.9642857143,1242.8571428571,294.3452380952,500.3174603175,3150,1042.8571428571,37.1714285714,20.7142857143,1.1571428571,7.6857142857,0,9.3714285714,44.3571428571,169.2857142857,48.41,432.9761904762
2007-04-29,994.0476190476,632.7380952381,322.1428571429,994.0476190476,715.5952380952,607.1428571429,1260.7142857143,275,475,3200,1021.4285714286,38.5428571429,20.5857142857,0,9.1142857143,0,9.4428571429,33.5,152.5,48.41,481.1904761905
2007-05-06,1004.1666666667,692.8571428571,351.1904761905,1004.1666666667,830.3571428571,619.6428571429,1212.8571428571,303.5714285714,473.8095238095,2978.5714285714,1050,40.5,23.5,0.3428571429,9.3,0,9.5285714286,41.6428571429,189.8571428571,48.41,508.9285714286
2007-05-13,947.619047619,686.9047619048,378.5714285714,947.619047619,861.4285714286,577.9761904762,1168.5714285714,300,483.3333333333,3092.8571428571,1107.1428571429,37.1571428571,22.9142857143,0,9.6714285714,0,11.1,49.3571428571,209,48.41,507.619047619
2007-05-20,927.9761904762,657.7380952381,384.5238095238,927.9761904762,883.9880952381,701.4880952381,1300,290.1785714286,520.2380952381,3285.7142857143,1200,35.9142857143,22.8714285714,0.0857142857,8.7714285714,0,10.9428571429,50.6428571429,205.8571428571,48.3885714286,508.2142857143
2007-05-27,913.0952380952,673.4126984127,390.4761904762,913.0952380952,841.0714285714,711.6071428571,1215.7142857143,311.6071428571,621.6666666667,3171.4285714286,1064.2857142857,35.9,23.7571428571,0.0857142857,8.9428571429,0,10.0714285714,54.5,218.5,48.38,465.7142857143
2007-06-03,854.7619047619,664.6825396825,366.6666666667,854.7619047619,910.7142857143,622.5,1239.2857142857,337.5,446.4285714286,2957.1428571429,1132.1428571429,34.6142857143,23.5142857143,0.2142857143,6.4428571429,0,7.0571428571,64.1428571429,237.1428571429,48.38,487.6488095238
2007-06-10,859.126984127,616.6666666667,370.2380952381,859.126984127,929.1666666667,629.7619047619,1235.7142857143,569.0476190476,477.380952381,3185.7142857143,1253.5714285714,36,24.9285714286,0.2857142857,6.8142857143,0,8.4142857143,64.7142857143,260.3571428571,48.38,690
2007-06-17,876.7857142857,567.8571428571,458.2142857143,876.7857142857,932.1428571429,655.9523809524,1314.2857142857,664.2857142857,514.5238095238,3100,1278.5714285714,34.3571428571,24.5857142857,0.3285714286,5.6714285714,0,5.3285714286,68.3571428571,261.9285714286,48.38,825.0198412698
2007-06-24,884.5238095238,614.880952381,560.7142857143,884.5238095238,911.6071428571,714.2857142857,1235.7142857143,771.6666666667,620.2380952381,2957.1428571429,1600,31.9142857143,22.9,22.7428571429,4.6,2.2857142857,3.0571428571,84.6428571429,274.1428571429,48.38,906.8452380952
2007-07-01,898.8095238095,633.3333333333,632.1428571429,898.8095238095,949.4047619048,680.5357142857,1292.8571428571,832.1428571429,610.7142857143,3321.4285714286,1978.5714285714,27.5571428571,22.7428571429,15.0571428571,2.9142857143,3.8571428571,2.0428571429,89.7857142857,271.5,48.38,912.5
2007-07-08,1061.9047619048,719.6428571429,832.1428571429,1061.9047619048,1017.1428571429,728.5714285714,1328.5714285714,873.3333333333,567.8571428571,3157.1428571429,2107.1428571429,27.4142857143,22.9285714286,27.1428571429,3.3142857143,4.7142857143,1.7857142857,83.1428571429,259.0714285714,48.38,872.9166666667
2007-07-15,1283.3333333333,822.619047619,919.6428571429,1283.3333333333,969.0476190476,738.0952380952,1325,882.2619047619,646.4285714286,3192.8571428571,1957.1428571429,27.4285714286,23.0857142857,1.6,2.9857142857,0.5571428571,2.7428571429,80.5,256.7142857143,48.38,912.7380952381
