Min Price potato,Max Price potato,Modal Price potato,Price Date
350,550,450,2008/11/03
375,550,462,2008/11/04
375,550,462,2008/11/05
375,550,462,2008/11/06
350,500,425,2008/11/07
375,550,462,2008/11/09
375,550,462,2008/11/10
275,550,412,2008/11/11
375,550,462,2008/11/12
375,550,462,2008/11/13
300,450,375,2008/11/16
300,450,375,2008/11/17
300,500,400,2008/11/18
300,500,400,2008/11/19
300,500,400,2008/11/20
300,500,400,2008/11/21
250,375,312,2008/11/23
250,450,350,2008/11/24
250,450,350,2008/11/25
250,450,350,2008/11/26
300,550,425,2008/11/27
300,550,425,2008/11/28
300,500,400,2008/11/30
300,500,400,2008/12/01
325,500,412,2008/12/02
325,525,425,2008/12/03
325,525,425,2008/12/04
325,525,425,2008/12/05
250,400,325,2008/12/07
250,400,325,2008/12/08
250,500,375,2008/12/10
325,500,400,2008/12/11
250,500,375,2008/12/12
250,525,375,2008/12/14
250,525,375,2008/12/15
250,500,375,2008/12/16
250,500,375,2008/12/17
200,550,375,2008/12/18
200,550,375,2008/12/19
200,450,325,2008/12/21
200,450,325,2008/12/22
200,500,350,2008/12/23
225,500,337,2008/12/24
250,500,375,2008/12/28
250,500,375,2008/12/29
200,475,335,2008/12/30
200,500,350,2008/12/31
200,500,350,2009/01/01
250,550,400,2009/01/02
200,550,375,2009/01/04
200,500,350,2009/01/05
250,500,375,2009/01/06
200,550,475,2009/01/07
250,625,400,2009/01/08
375,700,450,2009/01/09
200,625,412,2009/01/28
200,625,412,2009/01/29
200,625,412,2009/01/30
250,550,400,2009/02/01
250,550,400,2009/02/02
250,550,400,2009/02/03
200,500,350,2009/02/04
125,525,300,2009/02/05
125,525,325,2009/02/07
250,500,375,2009/02/08
250,500,375,2009/02/09
250,500,375,2009/02/10
250,500,375,2009/02/11
125,400,275,2009/02/12
125,400,250,2009/02/14
125,400,275,2009/02/15
125,400,375,2009/02/16
125,400,275,2009/02/17
125,400,275,2009/02/18
125,500,300,2009/02/19
125,500,300,2009/02/20
125,500,300,2009/02/22
125,500,300,2009/02/23
125,500,300,2009/02/24
400,525,465,2009/02/25
400,525,462,2009/02/26
300,500,400,2009/02/28
300,500,400,2009/03/01
300,500,400,2009/03/02
300,500,400,2009/03/03
300,500,400,2009/03/04
300,550,425,2009/03/05
200,550,425,2009/03/07
300,500,400,2009/03/08
300,500,400,2009/03/09
450,575,512,2009/03/10
500,687,593,2009/03/13
500,687,593,2009/03/15
500,687,593,2009/03/16
600,750,675,2009/03/17
625,800,712,2009/03/18
625,800,712,2009/03/19
625,800,712,2009/03/21
625,800,712,2009/03/22
625,800,712,2009/03/23
625,800,712,2009/03/24
500,725,612,2009/03/25
500,725,612,2009/03/26
500,725,612,2009/03/28
750,850,800,2009/03/29
750,850,800,2009/03/30
750,850,800,2009/03/31
750,850,800,2009/04/01
800,875,837,2009/04/02
